ev_id,rec_stat,approval_date,lchg_userid,lchg_date
20080211X00175,F,2008-02-11,gibs-i,2023-08-03 13:29:08
20080107X00026,B,2008-04-30,,2020-09-25 18:05:31
20080109X00036,B,2008-01-31,,2020-09-25 18:05:31
20080107X00027,B,2008-03-31,,2020-09-25 18:04:02
20080115X00051,B,2008-01-31,,2020-09-25 18:06:16
20080115X00047,B,2008-04-30,,2020-09-25 18:04:02
20080123X00096,B,2009-01-29,,2020-09-25 18:06:16
20080116X00063,B,2009-04-15,,2020-09-25 18:04:46
20080114X00044,B,2008-03-31,,2020-09-25 18:04:46
20080122X00087,B,2009-09-30,,2020-09-25 18:07:03
20080220X00212,B,2008-02-28,,2020-09-25 18:06:16
20080210X00166,B,2008-02-28,,2020-09-25 18:05:31
20080210X00162,B,2009-05-12,,2020-09-25 18:07:03
20080312X00299,B,2008-03-31,,2020-09-25 18:06:16
20080111X00038,F,,,2020-09-25 18:07:50
20080111X00039,F,,,2020-09-25 18:07:50
20080117X00068,B,2008-07-30,,2020-09-25 18:05:31
20080122X00081,F,,,2020-09-25 18:07:50
20080219X00203,B,2008-02-28,broda,2022-05-17 13:26:42
20080123X00090,B,2009-01-29,,2020-09-25 18:04:02
20080304X00261,B,2008-03-31,,2020-09-25 18:05:31
20080207X00153,B,2008-02-28,,2020-09-25 18:06:16
20080213X00179,B,2008-08-28,,2020-09-25 18:05:31
20080116X00062,B,2008-06-30,grol,2020-09-25 18:06:16
20080118X00073,B,2008-08-28,,2020-09-25 18:06:16
20080219X00204,B,2008-02-28,,2020-09-25 18:04:02
20080117X00069,B,2008-09-26,,2020-09-25 18:06:16
20080115X00046,B,2008-08-28,,2020-09-25 18:04:46
20080220X00219,F,,,2020-09-25 18:07:50
20080115X00052,B,2008-04-30,,2020-09-25 18:05:31
20080213X00180,B,2008-08-28,,2020-09-25 18:07:03
20080204X00131,B,2008-02-28,,2020-09-25 18:06:16
20080118X00079,F,,,2020-09-25 18:07:50
20080204X00132,F,,,2020-09-25 18:07:50
20080129X00119,B,2009-06-11,,2020-09-25 18:04:46
20080214X00194,B,2008-02-28,,2020-09-25 18:05:31
20080129X00117,B,2008-02-28,,2020-09-25 18:04:46
20080117X00065,F,2008-01-17,andj,2024-07-14 18:16:10
20080117X00067,B,2009-05-06,,2020-09-25 18:06:16
20080118X00075,B,2008-08-28,,2020-09-25 18:04:02
20080122X00085,B,2009-07-28,,2020-09-25 18:06:16
20080118X00074,B,2008-08-28,,2020-09-25 18:04:02
20080123X00091,B,2008-03-31,,2020-09-25 18:04:46
20080215X00202,B,2008-03-31,,2020-09-25 18:04:02
20080220X00218,B,2008-02-28,,2020-09-25 18:06:16
20080321X00354,B,2008-03-31,dobn,2025-05-27 19:15:54
20080128X00111,B,2010-03-03,,2020-09-25 18:04:02
20080312X00302,B,2008-03-31,,2020-09-25 18:05:31
20080312X00300,B,2008-03-31,,2020-09-25 18:04:46
20080131X00125,B,2008-09-26,,2020-09-25 18:04:46
20080125X00104,F,,,2020-09-25 18:07:50
20080128X00108,B,2008-05-28,,2020-09-25 18:04:02
20080123X00098,B,2009-01-29,,2020-09-25 18:06:16
20080220X00213,B,2008-02-28,,2020-09-25 18:06:16
20080130X00124,B,2009-06-11,,2020-09-25 18:06:16
20080122X00084,F,,,2020-09-25 18:07:50
20080122X00086,F,,,2020-09-25 18:07:50
20080122X00082,B,2008-05-28,,2020-09-25 18:07:03
