ct_name,code_iaids,meaning,seq,ntsb_type,ntsb_code,avn_code,ntsb_codes_more,not_for_ntsb_use,eADMS_use,notes
ct_office,CEN,Central Region,,,,,,False,True,
ct_office,CHI,North Central Regional Office,,,,,,False,True,
ct_office,DCA,Major Investigation,,,,,,False,True,
ct_office,DEN,Central Mountain Regional Office,,,,,,False,True,
ct_office,DFW,South Central Regional Office,,,,,,False,True,
ct_office,ENG,Aviation Engineering,,,,,,False,True,
ct_office,ERA,Easter Region Aviation,,,,,,False,True,
ct_office,GAA,General Aviation Accidents,,,,,,False,True,
ct_office,IAD,Mid-Atlantic Regional Office,,,,,,False,True,
ct_office,LAX,Southwest Regional Office,,,,,,False,True,
ct_office,MIA,Southeast Regional Office,,,,,,False,True,
ct_office,NYC,Northeast Regional Office,,,,,,False,True,
ct_office,OPN,Operational Factors (Additional),,,,,,False,True,
ct_office,OPS,Operational Factors,,,,,,False,True,
ct_office,SEA,Northwest Regional Office,,,,,,False,True,
ct_office,SUR,Survival Factors,,,,,,False,True,Request by Nora Marshall on 4/7/2011
ct_office,WPR,Western Pacific Region,,,,,,False,True,
ct_oper_cert        ,AGR,Agriculture,2.0,N,02, ,,False,True,
ct_oper_cert        ,EXTL,External Load,1.0,N,01, ,,False,True,
ct_oper_cert        ,UNK,Unknown,0.0,N,00, ,,False,False,Keep for archived data
ct_pax_cargo        ,CARG,Cargo,2.0,N,02,T,,False,True,
ct_pax_cargo        ,MAIL,Mail,4.0,N,04,R,,False,True,
ct_pax_cargo        ,PACA,Passenger/Cargo,3.0,N,03,U,,False,False,Keep for archived data
ct_pax_cargo        ,PAX,Passenger Only,1.0,N,01,S,,False,True,
ct_pax_cargo        ,UNK,Unknown,0.0,N,00,W,,False,False,Keep for archived data
ct_phase_flt_spec   ,500,Standing,0.0,N,50,-,,False,True,
ct_phase_flt_spec   ,501,Standing - pre-flight,0.0,N,50,-,,False,True,
ct_phase_flt_spec   ,502,Standing - starting engine(s),0.0,N,50,-,,False,True,
ct_phase_flt_spec   ,503,Standing - engine(s) operating,0.0,N,50,-,,False,True,
ct_phase_flt_spec   ,504,Standing - engine(s) not operating,0.0,N,50,-,,False,True,
ct_phase_flt_spec   ,505,Standing - idling rotors,0.0,N,50,-,,False,True,
ct_phase_flt_spec   ,510,Taxi,0.0,N,51,-,,False,True,
ct_phase_flt_spec   ,511,Taxi - pushback/tow,0.0,N,51,-,,False,True,
ct_phase_flt_spec   ,512,Taxi - to takeoff,0.0,N,51,-,,False,True,
ct_phase_flt_spec   ,513,Taxi - from landing,0.0,N,51,-,,False,True,
ct_phase_flt_spec   ,514,Taxi - aerial,0.0,N,51,-,,False,True,
ct_phase_flt_spec   ,520,Takeoff,0.0,N,52,-,,False,True,
ct_phase_flt_spec   ,521,Takeoff - roll/run,0.0,N,52,-,,False,True,
ct_phase_flt_spec   ,522,Takeoff - initial climb,0.0,N,52,-,,False,True,
ct_phase_flt_spec   ,523,Takeoff - aborted,0.0,N,52,-,,False,True,
